Company,Rating,Reviews,Industry,Location,Highly_Rated,Critically_Rated,Page
TCS,,(1.2L),IT Services & Consulting,Bengaluru +445 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1
Accenture,,(74.2k),IT Services & Consulting,Bengaluru +259 other locations,"Promotions, Salary, Work Satisfaction",,1
Wipro,,(65.7k),IT Services & Consulting,Hyderabad +374 other locations,"Promotions, Salary, Work Satisfaction",,1
Cognizant,,(62k),IT Services & Consulting,Hyderabad +233 other locations,"Promotions, Salary, Work Satisfaction",,1
Capgemini,,(54k),IT Services & Consulting,Bengaluru +183 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",1
HDFC Bank,,(53k),Banking,Mumbai +1857 other locations,"Job Security, Skill Development","Promotions, Salary",1
Infosys,,(49.3k),IT Services & Consulting,Bengaluru +246 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1
HCLTech,,(46.4k),IT Services & Consulting,Chennai +231 other locations,"Promotions, Salary, Work Satisfaction",,1
ICICI Bank,,(46.3k),Banking,Mumbai +1446 other locations,"Job Security, Promotions, Skill Development",,1
Tech Mahindra,,(43.7k),IT Services & Consulting,Hyderabad +323 other locations,"Promotions, Salary, Work Satisfaction",,1
Genpact,,(42.8k),Analytics & KPO,Hyderabad +181 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1
TP,,(39k),BPO,Mumbai +256 other locations,"Work Life Balance, Job Security, Skill Development",,1
Jio,,(33.8k),Telecom,Mumbai +1961 other locations,"Job Security, Skill Development, Company Culture",,1
Axis Bank,,(33.6k),Banking,Mumbai +1524 other locations,"Promotions, Work Satisfaction, Company Culture",,1
Concentrix Corporation,,(32.6k),BPO,Bengaluru +184 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1
Amazon,,(31.8k),Internet,Bengaluru +518 other locations,"Company Culture, Work Life Balance, Salary",Promotions,1
Reliance Retail,,(27.6k),Retail,Mumbai +1165 other locations,"Job Security, Skill Development, Work Life Balance",Promotions,1
iEnergizer,,(27.3k),BPO,Noida +53 other locations,"Salary, Company Culture, Work Life Balance",,1
LTIMindtree,,(26.7k),IT Services & Consulting,Bengaluru +145 other locations,"Promotions, Salary, Work Satisfaction",,1
IBM,,(26k),IT Services & Consulting,Bengaluru +162 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,1
HDB Financial Services,,(25.9k),NBFC,Mumbai +1096 other locations,"Job Security, Skill Development","Promotions, Salary",2
Larsen & Toubro Limited,,(24.1k),Engineering & Construction,Chennai +775 other locations,"Job Security, Skill Development, Salary","Promotions, Work Life Balance",2
Deloitte,,(23.5k),Management Consulting,Hyderabad +184 other locations,"Promotions, Work Life Balance, Work Satisfaction",,2
Kotak Mahindra Bank,,(22.7k),Banking,Mumbai +692 other locations,"Promotions, Work Satisfaction, Company Culture",,2
Reliance Industries,,(20.4k),Oil & Gas,Jamnagar +822 other locations,"Job Security, Work Life Balance, Skill Development",Promotions,2
Vodafone Idea,,(17.7k),Telecom,Pune +707 other locations,"Salary, Company Culture, Work Life Balance",Promotions,2
Bharti Airtel,,(17.2k),Telecom,Gurugram +796 other locations,Promotions,,2
BYJU'S,,(16.4k),EdTech,Bengaluru +321 other locations,"Job Security, Company Culture, Work Life Balance",,2
WNS,,(15.4k),IT Services & Consulting,Pune +66 other locations,"Promotions, Salary, Work Satisfaction",,2
IDFC FIRST Bank,,(14.8k),Banking,Mumbai +735 other locations,"Salary, Work Life Balance, Skill Development",,2
Ernst & Young,,(14.8k),Management Consulting,Bengaluru +135 other locations,"Promotions, Work Life Balance, Work Satisfaction",,2
IndusInd Bank,,(14.4k),Banking,Mumbai +799 other locations,"Promotions, Company Culture, Work Satisfaction",,2
AU Small Finance Bank,,(14.4k),Banking,Jaipur +805 other locations,Salary,,2
Tata Motors,,(14.3k),Automobile,Pune +506 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,2
Bajaj Finserv,,(13.3k),NBFC,Pune +1207 other locations,"Salary, Skill Development, Job Security",,2
Muthoot FinCorp,,(13.2k),NBFC,Bengaluru +1123 other locations,"Company Culture, Work Life Balance, Job Security",,2
Flipkart,,(13.1k),Internet,Bengaluru +555 other locations,"Skill Development, Salary",Promotions,2
PwC,,(12.8k),Management Consulting,Bengaluru +137 other locations,"Promotions, Work Life Balance, Work Satisfaction",,2
HDFC Life,,(12.2k),Insurance,Mumbai +718 other locations,Skill Development,,2
Infosys BPM,,(12.2k),BPO,Bengaluru +95 other locations,Job Security,"Promotions, Salary, Work Satisfaction",2
Mahindra & Mahindra,,(12.2k),Automobile,Pune +569 other locations,"Job Security, Skill Development, Company Culture",Promotions,3
DXC Technology,,(12.1k),IT Services & Consulting,Bengaluru +131 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction",3
Bandhan Bank,,(11.3k),Banking,Kolkata +1018 other locations,"Promotions, Work Satisfaction, Skill Development",,3
Digitide Solutions,,(10.4k),IT Services & Consulting,Hyderabad +274 other locations,"Promotions, Salary, Work Satisfaction",,3
Mphasis,,(10.3k),IT Services & Consulting,Bengaluru +63 other locations,"Promotions, Salary, Work Satisfaction",,3
Yes Bank,,(10.3k),Banking,Mumbai +543 other locations,"Job Security, Promotions, Company Culture",,3
Tata Steel,,(10k),Iron & Steel,Jamshedpur +228 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,3
Quess,,(9.8k),Recruitment,Bengaluru +758 other locations,"Promotions, Job Security",,3
Asian Paints,,(9.7k),Chemicals,Mumbai +558 other locations,"Salary, Skill Development, Job Security",Promotions,3
Startek,,(9.6k),BPO,Bengaluru +104 other locations,"Promotions, Work Satisfaction, Salary",,3
Maruti Suzuki,,(9.6k),Automobile,Gurugram +458 other locations,"Job Security, Salary, Skill Development",,3
UltraTech Cement,,(9.6k),Building Material,Mumbai +541 other locations,"Job Security, Skill Development, Company Culture",Promotions,3
Paytm,,(9.4k),FinTech,Noida +428 other locations,"Job Security, Promotions, Company Culture",,3
Bajaj Finance,,(9.3k),NBFC,Pune +1002 other locations,"Salary, Skill Development, Job Security",,3
Shriram Finance,,(9.2k),NBFC,Chennai +1122 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,3
Sutherland Global Services,,(9.1k),BPO,Chennai +82 other locations,"Promotions, Work Satisfaction, Skill Development",,3
Equitas Small Finance Bank,,(8.9k),Banking,Chennai +486 other locations,"Job Security, Company Culture, Work Life Balance",,3
Wells Fargo,,(8.8k),Financial Services,Bengaluru +27 other locations,Work Life Balance,"Promotions, Skill Development, Work Satisfaction",3
EXL Service,,(8.7k),Analytics & KPO,Noida +61 other locations,Job Security,"Promotions, Salary, Skill Development",3
Cipla,,(8.7k),Pharma,Mumbai +296 other locations,"Salary, Work Life Balance, Skill Development",,3
Ericsson,,(8.5k),Telecom,Noida +161 other locations,"Work Life Balance, Company Culture","Promotions, Salary",4
Samsung,,(8.4k),Consumer Electronics & Appliances,Noida +582 other locations,Salary,Promotions,4
Dr. Reddy's,,(8.3k),Pharma,Hyderabad +215 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions,4
Optum Global Solutions,,(8.1k),IT Services & Consulting,Hyderabad +69 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,4
JSW Steel,,(8k),Iron & Steel,Ballari +199 other locations,"Job Security, Skill Development",Promotions,4
JPMorgan Chase & Co.,,(7.9k),Financial Services,Bengaluru +56 other locations,Job Security,Promotions,4
Delhivery,,(7.9k),Logistics,Gurugram +765 other locations,Promotions,,4
Coforge,,(7.9k),IT Services & Consulting,Hyderabad +106 other locations,"Promotions, Work Satisfaction, Skill Development",,4
ICICI Prudential Life Insurance,,(7.9k),Insurance,Mumbai +512 other locations,"Job Security, Salary, Skill Development",,4
Hexaware Technologies,,(7.8k),IT Services & Consulting,Chennai +71 other locations,"Promotions, Salary, Work Satisfaction",,4
Sun Pharmaceutical Industries,,(7.7k),Pharma,Vadodara +264 other locations,"Salary, Job Security, Skill Development",,4
