Company Name,Rating,Reviews,Industry,Location,Highly Rated,Critically Rated
TCS,3.3,(1.2L),IT Services & Consulting,Bengaluru +445 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
Accenture,3.7,(74.2k),IT Services & Consulting,Bengaluru +259 other locations,,"Promotions, Salary, Work Satisfaction"
Wipro,3.6,(65.6k),IT Services & Consulting,Hyderabad +374 other locations,,"Promotions, Salary, Work Satisfaction"
Cognizant,3.7,(62k),IT Services & Consulting,Hyderabad +233 other locations,,"Promotions, Salary, Work Satisfaction"
Capgemini,3.6,(54k),IT Services & Consulting,Bengaluru +183 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction"
HDFC Bank,3.8,(53k),Banking,Mumbai +1856 other locations,"Job Security, Skill Development","Promotions, Salary"
Infosys,3.5,(49.3k),IT Services & Consulting,Bengaluru +246 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
HCLTech,3.4,(46.4k),IT Services & Consulting,Chennai +231 other locations,,"Promotions, Salary, Work Satisfaction"
ICICI Bank,3.9,(46.3k),Banking,Mumbai +1446 other locations,"Job Security, Promotions, Skill Development",
Tech Mahindra,3.4,(43.7k),IT Services & Consulting,Hyderabad +323 other locations,,"Promotions, Salary, Work Satisfaction"
Genpact,3.6,(42.8k),Analytics & KPO,Hyderabad +181 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
TP,3.9,(39k),BPO,Mumbai +256 other locations,"Work Life Balance, Job Security, Skill Development",
Jio,4.4,(33.8k),Telecom,Mumbai +1961 other locations,"Job Security, Skill Development, Company Culture",
Axis Bank,3.6,(33.6k),Banking,Mumbai +1524 other locations,,"Promotions, Work Satisfaction, Company Culture"
Concentrix Corporation,3.6,(32.5k),BPO,Bengaluru +184 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
Amazon,3.9,(31.7k),Internet,Bengaluru +517 other locations,"Company Culture, Work Life Balance, Salary",Promotions
Reliance Retail,3.9,(27.5k),Retail,Mumbai +1165 other locations,"Job Security, Skill Development, Work Life Balance",Promotions
iEnergizer,4.6,(27.3k),BPO,Noida +53 other locations,"Salary, Company Culture, Work Life Balance",
LTIMindtree,3.6,(26.7k),IT Services & Consulting,Bengaluru +145 other locations,,"Promotions, Salary, Work Satisfaction"
IBM,3.9,(25.9k),IT Services & Consulting,Bengaluru +162 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
HDB Financial Services,3.9,(25.9k),NBFC,Mumbai +1096 other locations,"Job Security, Skill Development","Promotions, Salary"
Larsen & Toubro Limited,3.9,(24.1k),Engineering & Construction,Chennai +775 other locations,"Job Security, Skill Development, Salary","Promotions, Work Life Balance"
Deloitte,3.6,(23.5k),Management Consulting,Hyderabad +184 other locations,,"Promotions, Work Life Balance, Work Satisfaction"
Kotak Mahindra Bank,3.6,(22.7k),Banking,Mumbai +692 other locations,,"Promotions, Work Satisfaction, Company Culture"
Reliance Industries,4.0,(20.4k),Oil & Gas,Jamnagar +822 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
Vodafone Idea,3.9,(17.7k),Telecom,Pune +707 other locations,"Salary, Company Culture, Work Life Balance",Promotions
Bharti Airtel,3.8,(17.2k),Telecom,Gurugram +796 other locations,,Promotions
BYJU'S,3.2,(16.4k),EdTech,Bengaluru +321 other locations,,"Job Security, Company Culture, Work Life Balance"
WNS,3.3,(15.4k),IT Services & Consulting,Pune +66 other locations,,"Promotions, Salary, Work Satisfaction"
IDFC FIRST Bank,3.9,(14.8k),Banking,Mumbai +732 other locations,"Salary, Work Life Balance, Skill Development",
Ernst & Young,3.4,(14.7k),Management Consulting,Bengaluru +135 other locations,,"Promotions, Work Life Balance, Work Satisfaction"
IndusInd Bank,3.4,(14.4k),Banking,Mumbai +799 other locations,,"Promotions, Company Culture, Work Satisfaction"
AU Small Finance Bank,3.8,(14.4k),Banking,Jaipur +804 other locations,Salary,
Tata Motors,4.1,(14.3k),Automobile,Pune +506 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Bajaj Finserv,4.0,(13.3k),NBFC,Pune +1206 other locations,"Salary, Skill Development, Job Security",
Muthoot FinCorp,4.5,(13.2k),NBFC,Bengaluru +1123 other locations,"Company Culture, Work Life Balance, Job Security",
